"","target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"202","DF0000762_4_MER41C",0.00207580797238774,0.0053539403644258,14.7163566472249,12.8813265159172,3,3.8767984694159,0.644066325795861,0.0262010149680383,0.617865310827823,0.211351939484972,0.617865310827823
"203","DF0000290_4_L1MDa_5end",0.00213338909585628,0.0054753483691681,14.658122152332,9.02882754785509,3,2.95315754682974,0.451441377392755,0.117686242867892,0.333755134524863,0.318010659918394,0.333755134524863
"204","DF0000928_4_MER75",0.00220802820464913,0.00563913085599116,14.5849136364177,11.6637779129846,3,4.12968633524916,0.583188895649232,0.0356966280818955,0.547492267567336,0.18622139042749,0.547492267567336
"205","DF0000212_4_HSMAR1",0.00224168677178208,0.00569422279599175,14.5526995590343,1.51847758610746,3,7.03445053135183,0.0759238793053729,0.000912140596525884,0.075011738708847,0.147695527159069,0.147695527159069
"206","DF0001040_4_MSR1",0.00225145853353993,0.00569422279599175,14.5434369637129,42.4301624574532,3,2.50444520483997,2.12150812287266,0.122198260533586,1.99930986233907,0.412270493935989,1.99930986233907
"207","DF0000945_4_MER87B",0.00234579475906294,0.00590415009406662,14.4560122727247,17.6757311733688,3,2.08763551971965,0.883786558668441,0.174893094437034,0.708893464231407,0.533720226925217,0.708893464231407
"208","DF0000345_4_L1PA8_3end",0.00241281839525824,0.00604364607658435,14.3959920597056,1.68486668505529,3,6.35985998872879,0.0842433342527643,0.00296529016438546,0.0812780440883789,0.138813289253139,0.138813289253139
"209","DF0000460_4_LTR22C2",0.00245402369232879,0.00611744662058995,14.3599074856131,27.0838188031358,3,2.23675831441835,1.35419094015679,0.195482154824956,1.15870878533184,0.485805238814402,1.15870878533184
"210","DF0000120_4_ERVL-E",0.00246638235053726,0.00611897716490436,14.3492017163771,16.9052498825094,3,1.62338196577336,0.845262494125469,0.202833054471082,0.642429439654386,0.728416067390716,0.728416067390716
"211","DF0000066_4_AluYk4",0.00252640744216178,0.00621590708840322,14.2979495991012,10.4238789016228,3,4.48630601772177,0.521193945081138,0.197359528793724,0.323834416287414,0.157447369901207,0.323834416287414
"212","DF0000815_4_MER50-int",0.00252931344096254,0.00621590708840322,14.2954990618253,9.44077388621983,3,3.52850369214841,0.472038694310992,0.0693485504793667,0.402690143831625,0.24247970719692,0.402690143831625
"213","DF0000392_4_LTR10B1",0.00258786039314555,0.00632993082079263,14.2467139171887,51.8046836462108,3,1.27121087648735,2.59023418231054,0.152822223968367,2.43741195834217,0.935901715945491,2.43741195834217
"214","DF0000765_4_MER41-int",0.00275442115219177,0.00670585710416781,14.1136855280945,2.2955780860542,3,4.4660091621615,0.11477890430271,0.0189130449945714,0.0958658593081385,0.15860004394144,0.15860004394144
"215","DF0000405_4_LTR12F",0.00283785293812762,0.00687684363146275,14.0500189795574,2.9453120069453,3,4.16495905601919,0.147265600347265,0.0221375116479938,0.125128088699271,0.182751437604076,0.182751437604076
"216","DF0000258_5_L1MA3_3end",0.00287702574810951,0.00690751343209704,14.0207636097381,1.6893480649872,3,5.27579142201377,0.0844674032493602,0.00871303001207291,0.0757543732372872,0.128307549224192,0.128307549224192
"217","DF0000878_4_MER5B",0.0028664304482071,0.00690751343209704,14.0286373514862,47.0659401786202,3,3.75866156216922,2.35329700893101,0.0380346369446822,2.31526237198633,0.221943258371832,2.31526237198633
"218","DF0000767_4_MER44A",0.00293164310291249,0.00700635805787803,13.9806259693134,4.52848107644822,3,4.20799660437551,0.226424053822411,0.0317900943856543,0.194633959436757,0.178634693292965,0.194633959436757
"219","DF0000508_5_LTR39-int",0.00295497587906859,0.00702987412326364,13.9637044049463,22.4495927694421,3,1.26460216685452,1.12247963847211,0.293518759849788,0.828960878622319,0.94038429859842,0.94038429859842
"220","DF0000754_4_MER34C_v",0.00300296259331443,0.00711156141416736,13.9293153874576,11.7383565592846,3,2.02133132607121,0.586917827964228,0.369250754689509,0.217667073274719,0.556977545098529,0.556977545098529
"221","DF0000760_4_MER41A",0.00315421148380569,0.00743594652969577,13.8243819893252,1.30035845799402,3,5.60528169818135,0.0650179228997012,0.00463848447545326,0.0603794384242478,0.128238196276154,0.128238196276154
"222","DF0000320_4_L1P3_orf2",0.00322523940764539,0.00756914293415877,13.7768130914846,1.96852752687992,3,8.20944489601557,0.0984263763439959,0.000316425228201354,0.0981099511157945,0.192124323507684,0.192124323507684
"223","DF0000390_4_LTR10A",0.00351053745596938,0.00818494288324102,13.5956585973406,8.38326075509688,3,2.88430541884988,0.419163037754844,0.136707581399214,0.28245545635563,0.3303645666263,0.3303645666263
"224","DF0001174_2_AluYe6",0.00351905413790017,0.00818494288324102,13.590477774231,4.80146190587121,3,4.69803108644225,0.240073095293561,0.0441494420151799,0.195923653278381,0.146298531084688,0.195923653278381
"225","DF0000971_4_MER9a3",0.00362766619462926,0.00840006261067486,13.5254750564218,6.16155180741073,3,5.23128101164261,0.308077590370536,0.00748170020066369,0.300595890169873,0.128862522752377,0.300595890169873
"226","DF0000216_4_HUERS-P3",0.00379814796794998,0.00863349577274209,13.4272329133505,4.87623962676333,3,4.00213922438718,0.243811981338166,0.0269583106060446,0.216853670732122,0.199106551865904,0.216853670732122
"227","DF0000257_4_L1MA2_3end",0.00379906201197401,0.00863349577274209,13.4267180421167,0.777511918004637,3,5.55153074093274,0.0388755959002322,0.00793788662322263,0.0309377092770092,0.127849173334704,0.127849173334704
"228","DF0000704_4_MER107",0.00378321774695395,0.00863349577274209,13.43566036137,15.6517899849709,3,3.47456067598277,0.782589499248544,0.0698107538888316,0.712778745359712,0.247614264401286,0.712778745359712
"229","DF0000747_4_MER31B",0.00380479553729937,0.00863349577274209,13.4234912037023,26.3082947349914,3,1.69516432210879,1.31541473674957,0.228599077019866,1.08681565972971,0.693012670321365,1.08681565972971
"230","DF0000818_4_THE1B",0.00381133210696868,0.00863349577274209,13.4198182788598,1.26443118942962,3,6.18359056689268,0.0632215594714812,0.00265204175501298,0.0605695177164682,0.136641076214128,0.136641076214128
"231","DF0000890_4_MER57-int",0.0038892334161734,0.00877182082175906,13.3765190500396,3.05064587041225,3,4.71131352579006,0.152532293520612,0.0127490174728808,0.139783276047731,0.145661959883566,0.145661959883566
"232","DF0000510_4_LTR3B",0.00393462653406095,0.00880563366073546,13.3516828376644,22.2358583432987,3,2.97022285272115,1.11179291716493,0.215159117535263,0.89663379962967,0.315051174766066,0.89663379962967
"233","DF0000795_4_MER4A1",0.00393802810547286,0.00880563366073546,13.3498331567482,0.947774281769854,3,5.17505593358892,0.0473887140884928,0.00707301388280266,0.0403157002056901,0.129788480293318,0.129788480293318
"234","DF0000675_4_tRNA-Gly-GGA",0.00399089415880501,0.00888570878947611,13.3212876195197,26.4704736140424,3,2.13620182275418,1.32352368070212,0.143954568308862,1.17956911239326,0.517479749814721,1.17956911239326
"235","DF0000783_4_MER44C",0.00412985417950485,0.00915597458520011,13.2480037365694,6.98035335181751,3,4.28191070970975,0.349017667590875,0.0675416144064167,0.281476053184459,0.171969822478159,0.281476053184459
"236","DF0000035_4_AluJr",0.00439918377543645,0.00971175740255251,13.1126673817731,7.8626521614415,3,4.43851363580207,0.393132608072075,0.0340577912242232,0.359074816847852,0.160240557036059,0.359074816847852
"237","DF0000319_4_L1P3b_5end",0.00484092476332543,0.0106418641421627,12.9075211687417,9.46194132493707,3,2.54731907411915,0.473097066246854,0.154099902133483,0.318997164113371,0.401719723360611,0.401719723360611
"238","DF0000270_4_L1MB4_3end",0.00490314724418996,0.0106884506871254,12.8801242583759,0.804416877389992,3,5.12347630444843,0.0402208438694996,0.00784312334419604,0.0323777205253035,0.130851376524503,0.130851376524503
"239","DF0000340_4_L1PA3_3end",0.00489076034570161,0.0106884506871254,12.8855507514909,2.93167670048626,3,7.19750614377317,0.146583835024313,0.00140366154347827,0.145180173480835,0.151401526538845,0.151401526538845
"240","DF0000179_5_HERV-Fc2",0.00499711896955795,0.0107582602609078,12.8393932126089,79.6354844203144,3,3.10837234905436,3.98177422101572,0.171581007348821,3.8101932136669,0.29249514911128,3.8101932136669
"241","DF0000227_4_L1M1_5end",0.00499340503496858,0.0107582602609078,12.8409885423348,2.60999747079442,3,5.92352132028271,0.130499873539721,0.0032797006790779,0.127220172860643,0.132439303202722,0.132439303202722
"242","DF0000261_4_L1MA5_3end",0.00496109485011492,0.0107582602609078,12.8549171976527,2.92035066257518,3,4.3719358584093,0.146017533128759,0.0294387362057283,0.116578796923031,0.164765534744708,0.164765534744708
"243","DF0000144_4_FLAM_C",0.0050296713986162,0.0107837810645228,12.8254602247222,163.056778909713,3,7.40219770593263,8.15283894548565,0.000799389508487228,8.15203955597716,0.157038909270866,8.15203955597716
"244","DF0000582_4_LTR77",0.00506517564817919,0.010815395543858,12.8103651548059,31.6678221810307,3,1.75328651791911,1.58339110905154,0.142976921234864,1.44041418781667,0.665879649504182,1.44041418781667
"245","DF0000171_5_HERV35I",0.0051031695500261,0.0108520462676065,12.7943270808841,8.00550841248435,3,2.73678996688624,0.400275420624218,0.157333297998885,0.242942122625333,0.359227498058356,0.359227498058356
"246","DF0000327_4_L1PA10_3end",0.00531572683423156,0.0112581043928237,12.7067250106838,0.762912714523607,3,5.97342728603854,0.0381456357261803,0.00390719361144903,0.0342384421147313,0.133260796431994,0.133260796431994
"247","DF0000881_4_MER6",0.00536399308893712,0.0113143336005516,12.687315965704,24.6635833532518,3,1.58752966629575,1.23317916766259,0.591611290083961,0.641567877578629,0.746911825309487,0.746911825309487
"248","DF0000118_4_ERVL",0.0055732162255317,0.0117082486028307,12.6051321432046,5.42242115583905,3,3.43477293619738,0.271121057791952,0.161986990495585,0.109134067296367,0.251554819306209,0.251554819306209
"249","DF0000182_5_HERVFH21",0.00562038425061151,0.0117599204601149,12.5870261425788,9.80496386588081,3,6.9601375259933,0.490248193294041,0.00121573569784691,0.489032457596194,0.146224300544396,0.489032457596194
